func,iter,xcen,ycen,depth,radius,dP_mu
2.028629e+01,19,4.2624282e+05,4.5186423e+06,3.8926146e+03,9.0191454e+02,5.1774121e-03
2.028664e+01,17,4.2624147e+05,4.5186288e+06,4.0089917e+03,9.6736716e+02,4.3003937e-03
2.028683e+01,19,4.2619642e+05,4.5186369e+06,3.9352687e+03,9.1715454e+02,4.9634199e-03
2.028713e+01,19,4.2625183e+05,4.5186535e+06,3.9355501e+03,9.0413155e+02,5.0529228e-03
2.028823e+01,18,4.2621960e+05,4.5186381e+06,3.8840202e+03,9.5896839e+02,4.1923529e-03
2.028829e+01,19,4.2621174e+05,4.5186447e+06,3.9175204e+03,1.0454418e+03,3.3130023e-03
2.028900e+01,19,4.2625921e+05,4.5186509e+06,3.8761827e+03,9.6656260e+02,4.1691135e-03
2.028966e+01,19,4.2625552e+05,4.5186376e+06,3.9111093e+03,1.0458717e+03,3.3276945e-03
2.029017e+01,16,4.2620440e+05,4.5186784e+06,3.9041545e+03,9.1853940e+02,4.8226424e-03
2.029035e+01,19,4.2621781e+05,4.5186142e+06,3.9901657e+03,9.6359144e+02,4.3635669e-03
2.029048e+01,17,4.2623548e+05,4.5186576e+06,3.8640469e+03,1.0840320e+03,2.9405760e-03
2.029085e+01,19,4.2625295e+05,4.5186526e+06,4.0007327e+03,9.6339768e+02,4.3551734e-03
2.029171e+01,18,4.2625632e+05,4.5186582e+06,3.8660692e+03,9.2401891e+02,4.7486868e-03
2.029187e+01,19,4.2625013e+05,4.5186861e+06,3.8691319e+03,9.2007119e+02,4.7864017e-03
2.029221e+01,19,4.2621057e+05,4.5186401e+06,3.9182156e+03,1.0479114e+03,3.3199187e-03
2.029227e+01,18,4.2624965e+05,4.5186494e+06,3.9951573e+03,9.6733900e+02,4.3429036e-03
2.029239e+01,19,4.2621779e+05,4.5186680e+06,3.8634378e+03,9.1575209e+02,4.7642456e-03
2.029248e+01,19,4.2622018e+05,4.5186465e+06,3.8599521e+03,8.9629826e+02,5.0835928e-03
2.029292e+01,19,4.2625527e+05,4.5186499e+06,3.8911555e+03,9.7051550e+02,4.1598205e-03
2.029313e+01,18,4.2623668e+05,4.5186778e+06,3.8612822e+03,9.2193820e+02,4.7699511e-03
2.029323e+01,19,4.2621858e+05,4.5186486e+06,3.8645104e+03,8.9632954e+02,5.0809713e-03
2.029341e+01,19,4.2623600e+05,4.5186782e+06,3.8538431e+03,9.2301638e+02,4.7315755e-03
2.029357e+01,19,4.2621683e+05,4.5186849e+06,3.8688952e+03,9.2034539e+02,4.7547584e-03
2.029400e+01,18,4.2622579e+05,4.5186901e+06,3.8755519e+03,9.2281958e+02,4.7325116e-03
