xtlc,ytlc,dtlc,length,width,dip,opening
4.2507325e+05,4.5195577e+06,3.6810224e+03,2.2661296e+03,1.9028381e+03,3.3598979e-01,1.5595628e+00
4.2489975e+05,4.5197269e+06,3.6530669e+03,2.5199659e+03,2.2728714e+03,2.6999032e-01,1.1925119e+00
4.2527485e+05,4.5193437e+06,4.0854928e+03,1.8010272e+03,1.9205481e+03,1.4973729e+00,2.3239171e+00
4.2510911e+05,4.5195335e+06,3.6805926e+03,2.2073983e+03,1.8122474e+03,2.0334732e-01,1.6595245e+00
4.2508795e+05,4.5195557e+06,3.7314060e+03,2.2100484e+03,1.8559080e+03,2.3780140e-01,1.6237928e+00
4.2493786e+05,4.5197274e+06,3.6746850e+03,2.4968844e+03,2.2743482e+03,2.3268585e-01,1.2124576e+00
4.2502074e+05,4.5196004e+06,3.7253999e+03,2.2934719e+03,1.9891817e+03,2.4355120e-01,1.4928343e+00
4.2492835e+05,4.5197160e+06,3.6679628e+03,2.4891139e+03,2.2479570e+03,1.9614864e-01,1.2211843e+00
4.2507499e+05,4.5195673e+06,3.7185281e+03,2.2390024e+03,1.8973605e+03,2.6062018e-01,1.5892840e+00
4.2511864e+05,4.5195455e+06,3.7279324e+03,2.1858035e+03,1.8371238e+03,1.5498869e-01,1.6671792e+00
4.2489387e+05,4.5197297e+06,3.6526196e+03,2.5184086e+03,2.2887314e+03,1.0184898e-01,1.1852411e+00
4.2497350e+05,4.5196637e+06,3.6701143e+03,2.4101448e+03,2.1106648e+03,1.8201064e-01,1.3361930e+00
4.2500571e+05,4.5196105e+06,3.6780908e+03,2.3248793e+03,1.9567894e+03,1.4936737e-01,1.4581105e+00
4.2505643e+05,4.5195762e+06,3.7427138e+03,2.2336619e+03,1.9133787e+03,1.5781257e-01,1.5756788e+00
4.2506468e+05,4.5195622e+06,3.6793372e+03,2.2765974e+03,1.9175280e+03,3.3886901e-01,1.5423723e+00
4.2489843e+05,4.5197275e+06,3.6529663e+03,2.5196154e+03,2.2764406e+03,2.3215089e-01,1.1908756e+00
4.2512065e+05,4.5194994e+06,3.8665526e+03,2.1012765e+03,1.9748361e+03,7.8377685e-01,1.8322162e+00
4.2509287e+05,4.5195460e+06,3.6982183e+03,2.2216107e+03,1.8691839e+03,2.5457899e-01,1.6384841e+00
4.2510318e+05,4.5195489e+06,3.7182257e+03,2.2072602e+03,1.8403150e+03,2.7034718e-01,1.6396121e+00
4.2497177e+05,4.5196803e+06,3.6866270e+03,2.4127001e+03,2.1229931e+03,1.3388575e-01,1.3196250e+00
4.2502120e+05,4.5196001e+06,3.7315768e+03,2.2893788e+03,1.9923327e+03,2.3546512e-01,1.4957656e+00
4.2494689e+05,4.5197153e+06,3.6753453e+03,2.4784713e+03,2.2415757e+03,1.6135024e-01,1.2260864e+00
4.2506448e+05,4.5195783e+06,3.7237629e+03,2.2496073e+03,1.9108098e+03,2.6804747e-01,1.5702151e+00
4.2512043e+05,4.5195461e+06,3.7305107e+03,2.1827239e+03,1.8409479e+03,1.2325540e-01,1.6703420e+00
4.2489387e+05,4.5197297e+06,3.6526196e+03,2.5184086e+03,2.2887314e+03,1.0184898e-01,1.1852411e+00
4.2498779e+05,4.5196201e+06,3.6617660e+03,2.3590652e+03,2.0136660e+03,1.4314050e-01,1.4123184e+00
4.2500376e+05,4.5196191e+06,3.6881020e+03,2.3290157e+03,1.9846870e+03,1.2703052e-01,1.4480033e+00
4.2503797e+05,4.5195994e+06,3.7278631e+03,2.2764408e+03,1.9646169e+03,1.6155557e-01,1.5159654e+00
4.2508780e+05,4.5195416e+06,3.6879750e+03,2.2337653e+03,1.8582321e+03,3.1905297e-01,1.6108279e+00
4.2487768e+05,4.5197478e+06,3.6397887e+03,2.5569757e+03,2.3234463e+03,2.2550935e-01,1.1415406e+00
4.2509789e+05,4.5195323e+06,3.8000213e+03,2.1605324e+03,1.9250770e+03,4.5057942e-01,1.7116718e+00
4.2509986e+05,4.5195418e+06,3.7027741e+03,2.2113782e+03,1.8534861e+03,2.5758756e-01,1.6503810e+00
4.2510694e+05,4.5195466e+06,3.7185512e+03,2.2029048e+03,1.8336328e+03,2.6903005e-01,1.6463476e+00
4.2498000e+05,4.5196776e+06,3.6917676e+03,2.4038068e+03,2.1139816e+03,1.3685115e-01,1.3305560e+00
4.2504233e+05,4.5195792e+06,3.7472289e+03,2.2471110e+03,1.9387036e+03,2.1515307e-01,1.5496106e+00
4.2497190e+05,4.5196630e+06,3.6667454e+03,2.4122930e+03,2.1139156e+03,1.4903880e-01,1.3299327e+00
4.2503812e+05,4.5195907e+06,3.7001242e+03,2.2857773e+03,1.9420167e+03,2.1751783e-01,1.5193155e+00
4.2512570e+05,4.5195413e+06,3.7322483e+03,2.1741658e+03,1.8292120e+03,1.2226316e-01,1.6826859e+00
4.2489458e+05,4.5197289e+06,3.6527392e+03,2.5171871e+03,2.2874402e+03,1.0269422e-01,1.1875681e+00
4.2502984e+05,4.5195581e+06,3.6509437e+03,2.2798765e+03,1.8631115e+03,1.2157042e-01,1.5310769e+00
4.2501455e+05,4.5195964e+06,3.6648137e+03,2.3113178e+03,1.9220129e+03,1.5356445e-01,1.4929994e+00
4.2510898e+05,4.5195564e+06,3.7562204e+03,2.1864600e+03,1.8821528e+03,1.3778051e-01,1.6508350e+00
4.2508533e+05,4.5195412e+06,3.6850338e+03,2.2373723e+03,1.8592413e+03,3.3255238e-01,1.6062217e+00
4.2489792e+05,4.5197413e+06,3.6518693e+03,2.5363169e+03,2.3054845e+03,1.9854642e-01,1.1604915e+00
