func,iter,xcen,ycen,depth,radius,dP_mu
1.214034e+01,10,4.2630330e+05,4.5187671e+06,2.4546564e+03,7.0398552e+02,4.5077566e-03
1.214842e+01,10,4.2615551e+05,4.5187432e+06,2.9061408e+03,6.0139761e+02,8.7653601e-03
1.215169e+01,11,4.2627795e+05,4.5187514e+06,2.6793393e+03,5.5223541e+02,9.3464557e-03
1.215446e+01,10,4.2636180e+05,4.5187649e+06,2.9602613e+03,5.8723658e+02,9.5181642e-03
1.217956e+01,11,4.2633933e+05,4.5186258e+06,2.8738586e+03,7.7428676e+02,3.9738448e-03
1.218063e+01,11,4.2628273e+05,4.5186035e+06,2.9099386e+03,7.6052064e+02,4.5388850e-03
1.218588e+01,11,4.2628949e+05,4.5187850e+06,2.4457148e+03,5.2872910e+02,9.5259076e-03
1.218650e+01,11,4.2633107e+05,4.5188635e+06,2.5588066e+03,5.3744674e+02,9.6264332e-03
1.219966e+01,11,4.2636872e+05,4.5186400e+06,2.9225998e+03,1.1015741e+03,1.5425002e-03
1.220761e+01,11,4.2637068e+05,4.5187030e+06,2.4929516e+03,9.0146301e+02,2.1966825e-03
1.222043e+01,9,4.2623741e+05,4.5187075e+06,2.8250912e+03,6.8120204e+02,5.4783586e-03
1.222572e+01,11,4.2633745e+05,4.5186201e+06,2.7643493e+03,7.9490436e+02,3.4694317e-03
1.222965e+01,11,4.2636243e+05,4.5188326e+06,2.8120496e+03,1.2387733e+03,1.0652158e-03
1.223629e+01,11,4.2641402e+05,4.5188040e+06,2.7998985e+03,8.7159270e+02,2.6981980e-03
1.227638e+01,11,4.2627144e+05,4.5189183e+06,2.5488688e+03,5.4795151e+02,9.4905292e-03
1.228445e+01,11,4.2629269e+05,4.5186905e+06,2.7799339e+03,9.5269984e+02,2.2854318e-03
1.229858e+01,11,4.2630528e+05,4.5186104e+06,2.9640064e+03,6.0410019e+02,8.7972656e-03
1.234951e+01,11,4.2640142e+05,4.5186640e+06,2.5960834e+03,8.6893466e+02,2.5234990e-03
1.236370e+01,11,4.2630949e+05,4.5189248e+06,2.4613003e+03,9.6160153e+02,1.7273205e-03
1.237098e+01,11,4.2629471e+05,4.5186791e+06,2.8527782e+03,6.1880049e+02,8.4650670e-03
1.238081e+01,10,4.2634175e+05,4.5186288e+06,2.6406554e+03,7.5491501e+02,3.9793556e-03
1.238461e+01,10,4.2631607e+05,4.5185847e+06,2.8350688e+03,7.0167231e+02,5.3886542e-03
1.239226e+01,11,4.2625104e+05,4.5187270e+06,2.8349210e+03,7.2484891e+02,4.5629846e-03
1.240521e+01,11,4.2623973e+05,4.5185983e+06,2.7855476e+03,1.0541339e+03,1.5503601e-03
1.241971e+01,10,4.2633739e+05,4.5187156e+06,2.6228010e+03,6.7065362e+02,5.1179394e-03
1.243021e+01,11,4.2624387e+05,4.5187384e+06,2.4957356e+03,1.0747277e+03,1.2110801e-03
1.243727e+01,11,4.2629006e+05,4.5188796e+06,2.5177107e+03,8.5234427e+02,2.4065523e-03
1.245585e+01,11,4.2620585e+05,4.5187075e+06,2.6419291e+03,7.3541028e+02,3.9521468e-03
1.245975e+01,10,4.2631143e+05,4.5187698e+06,2.5927967e+03,5.3920311e+02,9.5379085e-03
1.246636e+01,9,4.2615179e+05,4.5187386e+06,2.9236724e+03,6.1262803e+02,8.5647884e-03
1.247769e+01,11,4.2637494e+05,4.5188755e+06,2.5080501e+03,8.0966164e+02,2.8074951e-03
1.247778e+01,11,4.2621115e+05,4.5186798e+06,2.8401056e+03,6.8735314e+02,5.4009368e-03
1.248116e+01,6,4.2632780e+05,4.5186998e+06,2.7205022e+03,7.4374060e+02,3.9672002e-03
1.248442e+01,9,4.2625534e+05,4.5188022e+06,2.3742068e+03,8.4845072e+02,2.4365621e-03
1.249077e+01,10,4.2629123e+05,4.5187256e+06,2.7888352e+03,8.9956370e+02,2.7341598e-03
1.249161e+01,11,4.2633588e+05,4.5187996e+06,2.7368388e+03,5.9491213e+02,9.0430965e-03
1.254197e+01,10,4.2632829e+05,4.5186946e+06,2.9545710e+03,7.3502298e+02,5.3237197e-03
1.254324e+01,10,4.2619052e+05,4.5188839e+06,2.6402172e+03,5.6235990e+02,9.4262410e-03
1.254815e+01,11,4.2621751e+05,4.5186302e+06,2.8314764e+03,8.7427390e+02,2.6763196e-03
1.256520e+01,10,4.2619450e+05,4.5186439e+06,2.6233405e+03,7.0800919e+02,4.5664244e-03
1.258107e+01,10,4.2641140e+05,4.5186854e+06,2.8693919e+03,6.8134833e+02,5.7653893e-03
1.259282e+01,11,4.2643762e+05,4.5188397e+06,2.6890997e+03,5.7503089e+02,9.4875235e-03
1.261164e+01,8,4.2618474e+05,4.5187189e+06,2.4836443e+03,8.1015747e+02,2.8413317e-03
1.261213e+01,11,4.2619262e+05,4.5187250e+06,2.5733377e+03,5.5026541e+02,9.0471601e-03
1.261693e+01,10,4.2643742e+05,4.5187321e+06,2.8518525e+03,5.9102308e+02,8.7663258e-03
1.262170e+01,11,4.2629900e+05,4.5188414e+06,2.3564885e+03,8.8558888e+02,1.9897435e-03
1.263194e+01,10,4.2634605e+05,4.5188425e+06,2.8919461e+03,1.1093960e+03,1.4812894e-03
1.263213e+01,10,4.2623284e+05,4.5186080e+06,2.9488555e+03,6.0243233e+02,9.3079118e-03
1.263304e+01,11,4.2632038e+05,4.5188642e+06,2.6811160e+03,7.7212153e+02,4.0016968e-03
1.263986e+01,11,4.2627445e+05,4.5186891e+06,2.8330494e+03,6.0100920e+02,9.1811414e-03
1.264405e+01,10,4.2637427e+05,4.5188026e+06,2.3721087e+03,8.3564458e+02,2.4094961e-03
1.266024e+01,11,4.2627761e+05,4.5188976e+06,2.3741892e+03,8.4251596e+02,2.3900083e-03
1.267283e+01,11,4.2619152e+05,4.5188651e+06,2.7784340e+03,9.0106380e+02,2.5276544e-03
1.269245e+01,11,4.2637615e+05,4.5189170e+06,2.5222650e+03,5.4164177e+02,9.5622691e-03
1.269485e+01,9,4.2634768e+05,4.5187498e+06,3.0512221e+03,6.5156960e+02,7.4617844e-03
1.270305e+01,11,4.2632836e+05,4.5187940e+06,2.6787941e+03,9.1294827e+02,2.1088819e-03
1.273361e+01,11,4.2625972e+05,4.5186902e+06,2.7189449e+03,9.3464704e+02,2.0179759e-03
1.273623e+01,9,4.2627632e+05,4.5187865e+06,2.3393661e+03,8.7994355e+02,2.0416117e-03
1.273798e+01,8,4.2622708e+05,4.5189099e+06,2.6767674e+03,5.6258879e+02,9.3777570e-03
1.275214e+01,11,4.2616550e+05,4.5187336e+06,2.8136484e+03,5.9453996e+02,9.1648360e-03
1.275238e+01,10,4.2632459e+05,4.5185755e+06,2.8361038e+03,1.0536869e+03,1.6313385e-03
1.278273e+01,11,4.2618088e+05,4.5186363e+06,2.7325287e+03,6.8797036e+02,5.1712313e-03
1.278739e+01,10,4.2634743e+05,4.5186276e+06,2.6434805e+03,5.6892529e+02,9.3020821e-03
1.279524e+01,10,4.2620793e+05,4.5188293e+06,2.9090897e+03,8.6912216e+02,2.9206219e-03
1.280375e+01,11,4.2626588e+05,4.5187775e+06,2.6812827e+03,8.6543490e+02,2.4555213e-03
1.280749e+01,11,4.2629545e+05,4.5185942e+06,2.6774780e+03,7.6197523e+02,3.9027647e-03
1.281142e+01,10,4.2619091e+05,4.5187534e+06,2.5730600e+03,5.6064763e+02,9.5393456e-03
1.282984e+01,8,4.2614686e+05,4.5187087e+06,2.6116818e+03,7.1844021e+02,4.2573067e-03
1.283484e+01,11,4.2627188e+05,4.5187296e+06,2.4791948e+03,5.2632347e+02,9.7722469e-03
1.286035e+01,11,4.2627057e+05,4.5187369e+06,2.5464508e+03,9.0428862e+02,2.3446766e-03
1.287439e+01,10,4.2614879e+05,4.5186741e+06,2.7348869e+03,7.1624754e+02,4.5768656e-03
1.287600e+01,11,4.2618040e+05,4.5187393e+06,2.5772962e+03,7.4114377e+02,4.1683775e-03
1.288813e+01,11,4.2636310e+05,4.5186086e+06,2.9825433e+03,1.0232894e+03,1.9187291e-03
1.289416e+01,11,4.2630995e+05,4.5189146e+06,2.4149980e+03,5.3463400e+02,9.3228251e-03
1.291472e+01,11,4.2634183e+05,4.5187481e+06,2.5062523e+03,5.6400105e+02,9.1407392e-03
1.292655e+01,11,4.2630539e+05,4.5188685e+06,2.7447487e+03,7.1697895e+02,5.1427009e-03
1.293174e+01,11,4.2638155e+05,4.5187026e+06,2.8532446e+03,7.6480085e+02,3.9667447e-03
1.293639e+01,11,4.2642220e+05,4.5187619e+06,2.7303249e+03,8.7580194e+02,2.4986295e-03
