xcen,ycen,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.2680745e+05,4.5179270e+06,4.9269386e+03,2.0944000e+07,3.2762523e+07,3.2319607e+07,7.1569890e+05,3.8474920e+06,-3.4648749e+06
4.2676238e+05,4.5179670e+06,4.8978718e+03,2.2407040e+07,3.3974181e+07,3.2651311e+07,8.5424998e+05,3.6128931e+06,-3.5017362e+06
4.2679891e+05,4.5178710e+06,4.9569308e+03,2.2334161e+07,3.2528784e+07,3.2381179e+07,4.0271326e+05,4.0194733e+06,-3.4346026e+06
4.2682266e+05,4.5178986e+06,4.9713554e+03,2.1735276e+07,3.3096153e+07,3.2141387e+07,3.6127057e+05,3.9551367e+06,-3.6326366e+06
4.2680337e+05,4.5179446e+06,4.9214959e+03,2.2231014e+07,3.3130065e+07,3.2514249e+07,5.9806685e+05,3.7951507e+06,-3.4990139e+06
4.2679663e+05,4.5179203e+06,4.8744880e+03,2.1692352e+07,3.2966539e+07,3.2242894e+07,1.0613802e+06,3.8642660e+06,-3.3498328e+06
4.2678886e+05,4.5178868e+06,4.9135914e+03,2.2558829e+07,3.3509554e+07,3.2782515e+07,7.9787203e+05,3.7062165e+06,-3.5542013e+06
4.2680168e+05,4.5179083e+06,4.9587809e+03,2.1800382e+07,3.3045671e+07,3.2225982e+07,4.8080472e+05,3.9391397e+06,-3.5690911e+06
4.2678553e+05,4.5179165e+06,4.9142800e+03,2.2330899e+07,3.3165535e+07,3.2551630e+07,7.1510645e+05,3.8224101e+06,-3.4535255e+06
4.2679166e+05,4.5178623e+06,4.9357519e+03,2.2172433e+07,3.1536342e+07,3.1980966e+07,4.8297414e+05,4.2770572e+06,-3.1323749e+06
4.2682427e+05,4.5179130e+06,4.9075200e+03,1.9768621e+07,3.1820058e+07,3.2146969e+07,8.9984902e+05,3.9405175e+06,-3.2816223e+06
4.2677368e+05,4.5179666e+06,4.8625613e+03,2.2189438e+07,3.3742730e+07,3.2369030e+07,1.0887239e+06,3.6745485e+06,-3.3991097e+06
