xcen,ycen,depth,radius,dP_mu
4.2644888e+05,4.5188681e+06,2.6576130e+03,7.2418800e+02,4.1829456e-03
4.2623974e+05,4.5182805e+06,5.5401296e+03,1.7494739e+03,7.8354308e-04
4.2634864e+05,4.5188929e+06,2.7212867e+03,7.2096713e+02,4.4014563e-03
4.2641320e+05,4.5188511e+06,2.7050751e+03,7.3160096e+02,4.1545132e-03
4.2643665e+05,4.5188586e+06,2.6972514e+03,7.3242737e+02,4.1288186e-03
4.2643503e+05,4.5188588e+06,2.7145803e+03,7.3887806e+02,4.1204503e-03
4.2636182e+05,4.5188302e+06,3.0777514e+03,8.0343655e+02,3.7071939e-03
4.2644193e+05,4.5188538e+06,2.7431651e+03,7.4694418e+02,4.0665797e-03
4.2638588e+05,4.5188581e+06,2.7133312e+03,7.2837925e+02,4.2266093e-03
4.2646535e+05,4.5188150e+06,2.8667691e+03,7.9399454e+02,3.8411424e-03
4.2643695e+05,4.5188580e+06,2.7243254e+03,7.4041166e+02,4.0988355e-03
4.2649674e+05,4.5180906e+06,5.7274555e+03,2.0898068e+03,4.9761798e-04
4.2642569e+05,4.5188593e+06,2.6862918e+03,7.2836481e+02,4.1757935e-03
4.2623974e+05,4.5182805e+06,5.5401296e+03,1.7494739e+03,7.8354308e-04
4.2635764e+05,4.5188762e+06,2.7322821e+03,7.2670533e+02,4.3226295e-03
4.2636873e+05,4.5188695e+06,2.7180360e+03,7.2625832e+02,4.2958022e-03
4.2639908e+05,4.5188599e+06,2.7200096e+03,7.3236719e+02,4.1979002e-03
4.2643392e+05,4.5188682e+06,2.6288236e+03,7.2085324e+02,4.2682594e-03
4.2639976e+05,4.5188459e+06,2.8792314e+03,7.6817426e+02,3.9387156e-03
4.2642264e+05,4.5188575e+06,2.7242884e+03,7.3855908e+02,4.1426532e-03
4.2637435e+05,4.5188557e+06,2.7370263e+03,7.3259122e+02,4.2278844e-03
4.2645676e+05,4.5188280e+06,2.8237045e+03,7.7779500e+02,3.9190499e-03
4.2643095e+05,4.5188610e+06,2.7046580e+03,7.3533862e+02,4.1482964e-03
4.2649674e+05,4.5180906e+06,5.7274555e+03,2.0898068e+03,4.9761798e-04
4.2643014e+05,4.5188592e+06,2.6880386e+03,7.3012900e+02,4.1647066e-03
4.2619112e+05,4.5183165e+06,5.5046894e+03,1.6850864e+03,8.3763715e-04
4.2635012e+05,4.5188807e+06,2.7419278e+03,7.2700798e+02,4.3407937e-03
4.2638736e+05,4.5188641e+06,2.6794595e+03,7.2228610e+02,4.2881587e-03
4.2638166e+05,4.5188579e+06,2.7497755e+03,7.3882946e+02,4.2081993e-03
4.2643638e+05,4.5188714e+06,2.5928856e+03,7.1412729e+02,4.3223821e-03
4.2637838e+05,4.5188535e+06,2.8011186e+03,7.4736785e+02,4.1216962e-03
4.2641799e+05,4.5188677e+06,2.6668473e+03,7.2455781e+02,4.2657252e-03
4.2637456e+05,4.5188587e+06,2.7193892e+03,7.2930718e+02,4.2574933e-03
