xcen,ycen,depth,dVol
4.2624143e+05,4.5186855e+06,2.8195374e+03,5.7776059e+06
4.2625703e+05,4.5186808e+06,2.8773348e+03,5.9103379e+06
4.2624953e+05,4.5186606e+06,2.8196488e+03,5.8007965e+06
4.2625602e+05,4.5186941e+06,2.8895318e+03,5.9506495e+06
4.2625548e+05,4.5186944e+06,2.8701169e+03,5.8493929e+06
4.2626038e+05,4.5187309e+06,2.9196629e+03,5.9208400e+06
4.2625469e+05,4.5187241e+06,2.8939588e+03,5.8497577e+06
4.2626859e+05,4.5186700e+06,2.8837286e+03,5.9218027e+06
4.2625558e+05,4.5186665e+06,2.8531130e+03,5.8633772e+06
4.2625593e+05,4.5187129e+06,2.8858447e+03,5.8506485e+06
4.2619203e+05,4.5188291e+06,2.7365604e+03,5.2345801e+06
4.2623152e+05,4.5187484e+06,2.8221367e+03,5.6211212e+06
4.2624974e+05,4.5186872e+06,2.8432599e+03,5.8011108e+06
4.2626173e+05,4.5186828e+06,2.8759988e+03,5.8879855e+06
4.2625143e+05,4.5187019e+06,2.8659171e+03,5.8270515e+06
4.2624109e+05,4.5187396e+06,2.8495289e+03,5.7144489e+06
4.2623748e+05,4.5188440e+06,2.8918063e+03,5.4384157e+06
4.2626176e+05,4.5186784e+06,2.8544822e+03,5.8038846e+06
4.2624442e+05,4.5187166e+06,2.8482595e+03,5.7553765e+06
4.2619386e+05,4.5188549e+06,2.7770003e+03,5.2880191e+06
4.2617436e+05,4.5188682e+06,2.7050007e+03,5.0817361e+06
4.2616376e+05,4.5188960e+06,2.6935875e+03,5.0287406e+06
4.2620820e+05,4.5188000e+06,2.7719981e+03,5.4076521e+06
4.2625929e+05,4.5186881e+06,2.8715652e+03,5.8663163e+06
4.2622023e+05,4.5187688e+06,2.8035768e+03,5.5374669e+06
4.2622896e+05,4.5187960e+06,2.8428243e+03,5.5573559e+06
4.2621022e+05,4.5188350e+06,2.7957318e+03,5.3042725e+06
4.2623438e+05,4.5187477e+06,2.8213506e+03,5.5949085e+06
4.2621758e+05,4.5187822e+06,2.8025753e+03,5.5171149e+06
4.2617629e+05,4.5188763e+06,2.7363177e+03,5.1564187e+06
4.2617439e+05,4.5188681e+06,2.7050125e+03,5.0822044e+06
4.2617507e+05,4.5188746e+06,2.7154173e+03,5.1004549e+06
4.2616736e+05,4.5188623e+06,2.6755468e+03,5.0770520e+06
4.2621707e+05,4.5188019e+06,2.8008358e+03,5.4186793e+06
4.2618116e+05,4.5188440e+06,2.7175876e+03,5.1971479e+06
4.2619129e+05,4.5188722e+06,2.7650523e+03,5.2190534e+06
4.2617934e+05,4.5188835e+06,2.7296415e+03,5.0803933e+06
4.2620354e+05,4.5188189e+06,2.7718499e+03,5.3335858e+06
4.2617689e+05,4.5188585e+06,2.7089864e+03,5.1400179e+06
4.2616932e+05,4.5188976e+06,2.7312596e+03,5.0999416e+06
4.2617675e+05,4.5188685e+06,2.7080327e+03,5.0819419e+06
4.2617345e+05,4.5188706e+06,2.7053607e+03,5.0948213e+06
4.2617676e+05,4.5188594e+06,2.7055713e+03,5.1264644e+06
4.2620066e+05,4.5188388e+06,2.7725132e+03,5.2864279e+06
4.2618086e+05,4.5188577e+06,2.7157921e+03,5.1268829e+06
