func,iter,xcen,ycen,depth,Pxx,Pyy,Pzz
2.151579e+01,10,4.2617936e+05,4.5183436e+06,3.8562141e+03,1.8435220e+07,2.1557429e+07,2.5112285e+07
2.153405e+01,11,4.2617782e+05,4.5184036e+06,3.9134545e+03,1.5133279e+07,1.8551568e+07,2.3728678e+07
2.157957e+01,11,4.2621220e+05,4.5185681e+06,4.2346058e+03,8.4944170e+06,1.3565016e+07,2.7590886e+07
2.160719e+01,12,4.2632958e+05,4.5184610e+06,4.3481183e+03,1.2156635e+07,1.8271207e+07,2.9244267e+07
2.162367e+01,12,4.2619547e+05,4.5185455e+06,3.9074831e+03,1.8474060e+07,2.6034598e+07,2.6271623e+07
2.163872e+01,12,4.2635312e+05,4.5184467e+06,4.3451293e+03,1.4021144e+07,1.9982038e+07,2.9041335e+07
2.168028e+01,11,4.2609375e+05,4.5185390e+06,3.9603601e+03,1.1789710e+07,1.2893858e+07,2.2336670e+07
2.169393e+01,13,4.2626746e+05,4.5185901e+06,3.3845445e+03,1.4542219e+07,2.2972880e+07,2.0934564e+07
2.172831e+01,13,4.2594241e+05,4.5185605e+06,3.7010114e+03,1.8685644e+07,2.1489527e+07,2.4802101e+07
2.175027e+01,13,4.2621752e+05,4.5183683e+06,4.0686763e+03,1.2701324e+07,2.0651475e+07,2.6750729e+07
2.176797e+01,13,4.2624827e+05,4.5185993e+06,3.6189098e+03,2.2230366e+07,2.2661180e+07,2.3484461e+07
2.177582e+01,13,4.2636742e+05,4.5185546e+06,4.0530000e+03,1.6302836e+07,2.3178927e+07,2.6393000e+07
