xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
4.2620976e+05,4.5188846e+06,2.6965889e+03,2.1033361e+03,1.5486014e-03,6.2234361e+01,2.2110679e+01
4.2621007e+05,4.5188772e+06,2.6772890e+03,2.0994051e+03,1.5466201e-03,6.1851719e+01,2.2443990e+01
4.2620221e+05,4.5188832e+06,2.7007350e+03,2.1079701e+03,1.5448799e-03,6.2699741e+01,2.1838522e+01
4.2624521e+05,4.5189259e+06,2.6881252e+03,2.0787052e+03,1.6047837e-03,6.1187719e+01,2.2454034e+01
4.2624637e+05,4.5188977e+06,2.6879019e+03,2.0852984e+03,1.5819953e-03,6.3125884e+01,2.2888961e+01
4.2619996e+05,4.5189060e+06,2.6827055e+03,2.1060436e+03,1.5223078e-03,6.2520597e+01,2.2190543e+01
4.2626563e+05,4.5188671e+06,2.6710586e+03,2.0864092e+03,1.5655075e-03,6.5662238e+01,2.3245418e+01
4.2623924e+05,4.5188707e+06,2.6688210e+03,2.0940260e+03,1.5531505e-03,6.5465135e+01,2.2804581e+01
4.2621733e+05,4.5188808e+06,2.6828300e+03,2.0963264e+03,1.5574974e-03,6.2207263e+01,2.2558085e+01
4.2617817e+05,4.5188836e+06,2.6881899e+03,2.1094945e+03,1.5302526e-03,5.9751591e+01,2.1954008e+01
4.2625360e+05,4.5189179e+06,2.6699686e+03,2.0747874e+03,1.5943330e-03,6.0622975e+01,2.2952663e+01
4.2619609e+05,4.5188824e+06,2.7027078e+03,2.1028426e+03,1.5600470e-03,6.0263099e+01,2.1984535e+01
4.2615331e+05,4.5188786e+06,2.7357012e+03,2.1175592e+03,1.5634426e-03,5.7209145e+01,2.0777629e+01
4.2622791e+05,4.5189181e+06,2.6709537e+03,2.0881879e+03,1.5611870e-03,6.1518677e+01,2.2599203e+01
4.2620232e+05,4.5189013e+06,2.6911101e+03,2.0979572e+03,1.5583494e-03,5.9932073e+01,2.2126304e+01
4.2622002e+05,4.5188770e+06,2.6992001e+03,2.0991907e+03,1.5617191e-03,6.2270676e+01,2.2276599e+01
4.2620481e+05,4.5188731e+06,2.7178553e+03,2.1103710e+03,1.5504759e-03,6.2429246e+01,2.1679604e+01
