xtlc,ytlc,dtlc,length,opening
4.2504743e+05,4.5195251e+06,3.6111419e+03,2.2730686e+03,1.5506908e+00
4.2505794e+05,4.5195172e+06,3.6016019e+03,2.3034002e+03,1.5489199e+00
4.2498519e+05,4.5195225e+06,3.6168170e+03,2.4189868e+03,1.4869368e+00
4.2498780e+05,4.5195172e+06,3.5880098e+03,2.4057558e+03,1.4923748e+00
4.2503663e+05,4.5195397e+06,3.5944560e+03,2.3310406e+03,1.5298301e+00
4.2499708e+05,4.5195433e+06,3.6150062e+03,2.4040494e+03,1.4894354e+00
4.2500572e+05,4.5195165e+06,3.6116017e+03,2.3733238e+03,1.5107245e+00
4.2500123e+05,4.5195325e+06,3.6252409e+03,2.3802399e+03,1.4968809e+00
4.2502746e+05,4.5195392e+06,3.6111550e+03,2.3639370e+03,1.5188744e+00
4.2500267e+05,4.5195208e+06,3.5914785e+03,2.3784840e+03,1.5093340e+00
4.2502447e+05,4.5195213e+06,3.6217072e+03,2.3326510e+03,1.5274343e+00
4.2505283e+05,4.5195062e+06,3.6060752e+03,2.3171516e+03,1.5431482e+00
4.2496802e+05,4.5195366e+06,3.6133779e+03,2.4601424e+03,1.4699717e+00
4.2496262e+05,4.5195192e+06,3.5854187e+03,2.4585104e+03,1.4685585e+00
4.2507778e+05,4.5195526e+06,3.5899113e+03,2.2609103e+03,1.5676569e+00
4.2506894e+05,4.5195356e+06,3.5899358e+03,2.2957707e+03,1.5512834e+00
4.2505677e+05,4.5195103e+06,3.5927434e+03,2.2678689e+03,1.5597958e+00
4.2502249e+05,4.5195339e+06,3.6182584e+03,2.3489050e+03,1.5125281e+00
4.2498817e+05,4.5195250e+06,3.6279116e+03,2.4376931e+03,1.4864897e+00
4.2503535e+05,4.5195233e+06,3.5907181e+03,2.3429132e+03,1.5299285e+00
4.2502443e+05,4.5195217e+06,3.6135073e+03,2.3543471e+03,1.5207263e+00
