xcen,ycen,depth,dP_mu
4.2617881e+05,4.5185882e+06,3.8065595e+03,3.3523978e-03
4.2617072e+05,4.5185699e+06,3.8217784e+03,3.3570951e-03
4.2616897e+05,4.5186079e+06,3.7922017e+03,3.3043969e-03
4.2616196e+05,4.5185913e+06,3.8136695e+03,3.3490663e-03
4.2617811e+05,4.5186039e+06,3.7766301e+03,3.2950913e-03
4.2618501e+05,4.5185964e+06,3.8243717e+03,3.3697443e-03
4.2618303e+05,4.5185916e+06,3.7820548e+03,3.3267000e-03
4.2618748e+05,4.5185738e+06,3.8165188e+03,3.3669631e-03
4.2618554e+05,4.5185895e+06,3.8001629e+03,3.3575113e-03
4.2617736e+05,4.5185739e+06,3.8143136e+03,3.3498718e-03
4.2616060e+05,4.5186104e+06,3.7952183e+03,3.3033698e-03
4.2615367e+05,4.5185788e+06,3.8226601e+03,3.3710064e-03
4.2618359e+05,4.5185923e+06,3.7955917e+03,3.3270454e-03
4.2619106e+05,4.5185946e+06,3.7982752e+03,3.3570194e-03
4.2618319e+05,4.5185908e+06,3.7686364e+03,3.3251723e-03
4.2619674e+05,4.5185745e+06,3.8113427e+03,3.3576693e-03
4.2618785e+05,4.5185868e+06,3.7989044e+03,3.3467459e-03
4.2618570e+05,4.5185795e+06,3.7945952e+03,3.3167574e-03
4.2617304e+05,4.5185938e+06,3.7993974e+03,3.3209668e-03
4.2617299e+05,4.5185806e+06,3.8172939e+03,3.3580502e-03
4.2617483e+05,4.5186003e+06,3.7963874e+03,3.3104760e-03
